sampling_time,input,y
0.00349,2.51,12.2
0.0035,2.5,12.2
0.00351,2.51,12.0
0.00352,2.51,12.0
0.00353,2.51,12.0
0.00354,2.51,12.0
0.00355,2.51,12.0
0.00356,2.51,12.0
0.00357,2.5,12.0
0.00358,2.51,12.0
0.00359,2.51,11.8
0.0036,2.51,11.8
0.00361,2.51,11.8
0.00362,2.51,11.8
0.00363,2.51,11.8
0.00364,2.51,11.8
0.00365,2.51,11.8
0.00366,2.51,11.8
0.00367,2.51,11.8
0.00368,2.5,11.6
0.00369,2.51,11.6
0.0037,2.5,11.6
0.00371,2.51,11.6
0.00372,2.51,11.6
0.00373,2.51,11.6
0.00374,2.51,11.6
0.00375,2.51,11.6
0.00376,2.51,11.6
0.00377,2.51,11.6
0.00378,2.51,11.6
0.00379,2.51,11.6
0.0038,2.5,11.6
0.00381,2.51,11.6
0.00382,2.51,11.6
0.00383,2.51,11.6
0.00384,2.51,11.6
0.00385,2.51,11.6
0.00386,2.5,11.6
0.00387,2.5,11.6
0.00388,2.51,11.6
0.00389,2.51,11.6
0.0039,2.51,11.6
0.00391,2.51,11.6
0.00392,2.51,11.6
0.00393,2.51,11.8
0.00394,2.51,11.6
0.00395,2.51,11.8
0.00396,2.51,11.8
0.00397,2.51,12.0
0.00398,2.5,11.8
0.00399,2.51,11.8
0.004,2.51,11.8
0.00401,2.51,11.8
0.00402,2.51,11.8
0.00403,2.51,11.8
0.00404,2.51,11.8
0.00405,2.51,11.8
0.00406,2.51,11.8
0.00407,2.51,11.8
0.00408,2.51,12.0
0.00409,2.51,11.8
0.0041,2.51,12.0
0.00411,2.51,11.8
0.00412,2.51,12.0
0.00413,2.519999975,12.8
0.00414,2.5,12.0
0.00415,2.51,12.0
0.00416,2.51,12.0
0.00417,2.51,12.0
0.00418,2.51,12.0
0.00419,2.51,12.0
0.0042,2.5,12.0
0.00421,2.51,12.0
0.00422,2.5,12.0
0.00423,2.51,12.0
0.00424,2.51,12.0
0.00425,2.51,12.0
0.00426,2.51,12.2
0.00427,2.5,12.0
0.00428,2.51,12.0
0.00429,2.51,12.0
0.0043,2.51,12.0
0.00431,2.5,12.2
0.00432,2.51,12.0
0.00433,2.51,12.0
0.00434,2.51,12.2
0.00435,2.51,12.2
0.00436,2.51,12.2
0.00437,2.51,12.2
0.00438,2.51,12.2
0.00439,2.51,12.2
0.0044,2.51,12.2
0.00441,2.51,12.2
0.00442,2.51,12.2
0.00443,2.51,12.2
0.00444,2.51,12.2
0.00445,2.51,12.2
0.00446,2.51,12.2
0.00447,2.51,12.2
0.00448,2.51,12.2
0.00449,2.51,12.0
0.0045,2.51,12.2
0.00451,2.51,12.2
0.00452,2.5,12.0
0.00453,2.51,12.0
0.00454,2.51,12.2
0.00455,2.51,12.0
0.00456,2.5,12.2
0.00457,2.51,12.2
0.00458,2.51,12.0
0.00459,2.51,12.0
0.0046,2.51,12.0
0.00461,2.51,12.0
0.00462,2.51,12.0
0.00463,2.51,12.0
0.00464,2.51,12.0
0.00465,2.51,12.0
0.00466,2.51,12.2
0.00467,2.5,12.0
0.00468,2.5,12.0
0.00469,2.51,12.0
0.0047,2.51,12.0
0.00471,2.51,12.2
0.00472,2.51,12.0
0.00473,2.51,12.0
0.00474,2.51,12.0
0.00475,2.51,12.0
0.00476,2.5,12.0
0.00477,2.51,12.0
0.00478,2.51,12.0
0.00479,2.51,12.0
0.0048,2.51,12.0
0.00481,2.51,12.0
0.00482,2.51,12.0
0.00483,2.51,12.0
0.00484,2.51,12.0
0.00485,2.51,12.0
0.00486,2.51,12.0
0.00487,2.5,11.6
0.00488,2.51,12.0
0.00489,2.51,12.0
0.0049,2.51,12.0
0.00491,2.51,12.0
0.00492,2.51,12.0
0.00493,2.51,12.0
0.00494,2.5,12.0
0.00495,2.51,12.0
0.00496,2.51,12.0
0.00497,2.51,12.0
0.00498,2.51,12.0
0.00499,2.51,12.0
0.005,2.5,11.8
0.00501,2.51,12.0
0.00502,2.51,12.0
0.00503,2.5,12.0
0.00504,2.51,12.0
0.00505,2.51,12.0
0.00506,2.51,12.0
0.00507,2.51,12.0
0.00508,2.51,12.0
0.00509,2.51,12.0
0.0051,2.51,12.0
0.00511,2.51,12.0
0.00512,2.51,12.0
0.00513,2.51,11.8
0.00514,2.51,12.0
0.00515,2.51,12.0
0.00516,2.51,11.8
0.00517,2.51,12.0
0.00518,2.51,12.0
0.00519,2.51,12.0
0.0052,2.51,12.0
0.00521,2.51,12.0
0.00522,2.51,12.0
0.00523,2.51,12.0
0.00524,2.51,12.0
0.00525,2.51,12.0
0.00526,2.51,12.0
0.00527,2.51,12.0
0.00528,2.51,12.0
0.00529,2.51,12.0
0.0053,2.51,12.0
0.00531,2.51,12.0
0.00532,2.47,11.0
0.00533,2.51,12.0
0.00534,2.51,12.0
0.00535,2.51,12.0
0.00536,2.51,12.0
0.00537,2.51,12.0
0.00538,2.51,12.0
0.00539,2.51,12.0
0.0054,2.51,12.0
0.00541,2.51,12.0
0.00542,2.51,12.0
0.00543,2.51,12.0
0.00544,2.51,12.0
0.00545,2.5,12.0
0.00546,2.51,12.0
0.00547,2.51,12.0
0.00548,2.51,12.0
0.00549,2.51,12.0
0.0055,2.51,12.0
0.00551,2.51,12.0
0.00552,2.51,12.0
0.00553,2.51,12.0
0.00554,2.51,12.0
0.00555,2.51,12.0
0.00556,2.51,12.0
0.00557,2.44,12.0
0.00558,2.33,12.0
0.00559,2.28,12.0
0.0056,2.25,12.2
0.00561,2.22,12.2
0.00562,2.22,12.2
0.00563,2.22,12.2
0.00564,2.21,12.4
0.00565,2.21,12.4
0.00566,2.21,12.4
0.00567,2.21,12.6
0.00568,2.21,12.6
0.00569,2.2,12.6
0.0057,2.21,12.8
0.00571,2.2,12.8
0.00572,2.21,12.8
0.00573,2.2,13.0
0.00574,2.21,13.0
0.00575,2.2,13.2
0.00576,2.2,13.4
0.00577,2.21,13.4
0.00578,2.2,13.4
0.00579,2.2,13.6
0.0058,2.21,13.6
0.00581,2.21,13.8
0.00582,2.2,13.8
0.00583,2.2,14.0
0.00584,2.2,14.0
0.00585,2.2,14.2
0.00586,2.2,14.2
0.00587,2.2,14.4
0.00588,2.21,14.4
0.00589,2.2,14.6
0.0059,2.2,14.6
0.00591,2.2,14.6
0.00592,2.2,14.8
0.00593,2.21,14.8
0.00594,2.2,14.8
0.00595,2.21,15.2
0.00596,2.2,15.0
0.00597,2.2,15.2
0.00598,2.2,15.2
0.00599,2.2,15.2
0.006,2.21,15.2
0.00601,2.2,15.4
0.00602,2.2,15.4
0.00603,2.2,15.4
0.00604,2.21,15.6
0.00605,2.2,15.6
0.00606,2.2,15.4
0.00607,2.2,15.6
0.00608,2.21,15.8
0.00609,2.2,15.8
0.0061,2.21,15.8
0.00611,2.2,15.8
0.00612,2.2,15.8
0.00613,2.2,15.8
0.00614,2.21,15.8
0.00615,2.2,15.8
0.00616,2.2,15.8
0.00617,2.21,15.8
0.00618,2.21,15.8
0.00619,2.2,15.8
0.0062,2.2,15.8
0.00621,2.2,15.8
0.00622,2.2,15.8
0.00623,2.21,15.6
0.00624,2.2,15.6
0.00625,2.2,15.6
0.00626,2.2,15.6
0.00627,2.2,15.6
0.00628,2.2,15.6
0.00629,2.21,15.4
0.0063,2.2,15.4
0.00631,2.2,15.4
0.00632,2.21,15.4
0.00633,2.21,15.4
0.00634,2.2,15.4
0.00635,2.21,15.4
0.00636,2.21,15.2
0.00637,2.2,15.2
0.00638,2.2,15.2
0.00639,2.2,15.0
0.0064,2.2,15.0
0.00641,2.21,15.0
0.00642,2.21,14.8
0.00643,2.2,14.8
0.00644,2.2,14.8
0.00645,2.21,14.8
0.00646,2.21,14.8
0.00647,2.2,14.6
0.00648,2.21,14.6
0.00649,2.2,14.6
0.0065,2.21,14.6
0.00651,2.2,14.4
0.00652,2.21,14.4
0.00653,2.2,14.4
0.00654,2.21,14.4
0.00655,2.2,14.2
0.00656,2.2,14.2
0.00657,2.2,14.2
0.00658,2.2,14.2
0.00659,2.2,14.2
0.0066,2.21,14.2
0.00661,2.21,14.0
0.00662,2.21,14.0
0.00663,2.2,14.0
0.00664,2.2,14.0
0.00665,2.21,14.0
0.00666,2.2,14.0
0.00667,2.2,14.0
0.00668,2.2,14.0
0.00669,2.2,14.0
0.0067,2.2,13.8
0.00671,2.2,13.8
0.00672,2.2,13.8
0.00673,2.2,13.8
0.00674,2.2,13.8
0.00675,2.2,13.8
0.00676,2.21,13.8
0.00677,2.2,13.8
0.00678,2.2,13.8
0.00679,2.2,13.8
0.0068,2.21,14.2
0.00681,2.2,13.8
0.00682,2.2,13.8
0.00683,2.2,13.8
0.00684,2.2,13.8
0.00685,2.2,13.8
0.00686,2.2,14.0
0.00687,2.2,14.0
0.00688,2.31,13.8
0.00689,2.4,13.8
0.0069,2.45,13.8
0.00691,2.48,13.8
0.00692,2.5,13.8
0.00693,2.5,13.8
0.00694,2.51,13.8
0.00695,2.5,13.8
0.00696,2.51,13.6
0.00697,2.51,13.6
0.00698,2.51,13.6
0.00699,2.51,13.6
0.007,2.51,13.6
0.00701,2.51,13.4
0.00702,2.51,13.4
0.00703,2.51,13.4
0.00704,2.51,13.4
0.00705,2.51,13.4
0.00706,2.51,13.2
0.00707,2.5,13.2
0.00708,2.51,13.2
0.00709,2.51,13.2
0.0071,2.51,13.0
0.00711,2.51,13.0
0.00712,2.51,13.0
0.00713,2.51,13.0
0.00714,2.5,13.0
0.00715,2.51,12.8
0.00716,2.51,13.0
0.00717,2.51,12.8
0.00718,2.51,12.8
0.00719,2.5,12.8
0.0072,2.5,12.8
0.00721,2.51,12.8
0.00722,2.51,12.6
0.00723,2.5,12.6
0.00724,2.5,12.6
0.00725,2.51,12.6
0.00726,2.5,12.6
0.00727,2.5,12.4
0.00728,2.51,12.4
0.00729,2.51,12.4
0.0073,2.51,12.4
0.00731,2.51,12.4
0.00732,2.51,12.4
0.00733,2.51,12.2
0.00734,2.51,12.2
0.00735,2.51,12.2
0.00736,2.51,12.2
0.00737,2.51,12.2
0.00738,2.51,12.0
0.00739,2.51,12.2
0.0074,2.51,12.0
0.00741,2.51,12.0
0.00742,2.51,12.0
0.00743,2.51,12.0
0.00744,2.51,12.0
0.00745,2.51,11.8
0.00746,2.51,11.8
0.00747,2.51,11.8
0.00748,2.5,11.8
0.00749,2.51,11.8
0.0075,2.51,11.8
0.00751,2.51,11.8
0.00752,2.51,11.8
0.00753,2.51,11.8
0.00754,2.5,11.6
0.00755,2.5,11.6
0.00756,2.51,11.8
0.00757,2.51,11.6
0.00758,2.5,11.6
0.00759,2.51,11.6
0.0076,2.51,11.6
0.00761,2.51,11.6
0.00762,2.51,11.6
0.00763,2.51,11.6
0.00764,2.51,11.6
0.00765,2.51,11.6
0.00766,2.51,11.6
0.00767,2.5,11.6
0.00768,2.51,11.6
0.00769,2.51,11.6
0.0077,2.51,11.8
0.00771,2.51,11.6
0.00772,2.51,11.6
0.00773,2.5,11.6
0.00774,2.51,11.6
0.00775,2.51,11.6
0.00776,2.51,11.6
0.00777,2.51,11.6
0.00778,2.51,11.6
0.00779,2.51,11.6
0.0078,2.51,11.6
0.00781,2.51,11.6
0.007820000000000002,2.51,11.8
0.00783,2.5,11.6
0.00784,2.51,11.8
0.007849999999999998,2.51,11.8
0.007860000000000002,2.5,11.6
0.00787,2.51,11.8
0.00788,2.51,11.8
0.007889999999999998,2.51,11.8
0.0079,2.51,11.8
0.00791,2.51,11.8
0.00792,2.51,11.8
0.00793,2.51,11.8
0.00794,2.51,12.0
0.00795,2.51,11.8
0.00796,2.51,11.8
0.00797,2.51,12.0
0.00798,2.51,12.0
0.007990000000000002,2.5,11.6
0.008,2.51,12.0
0.00801,2.51,12.0
0.008019999999999998,2.51,12.0
0.008030000000000002,2.51,12.0
0.00804,2.51,12.0
0.00805,2.51,12.0
0.008059999999999998,2.51,12.0
0.00807,2.51,12.2
0.00808,2.51,12.0
0.00809,2.51,12.0
0.0081,2.5,12.2
0.00811,2.51,12.2
0.00812,2.5,12.0
0.00813,2.51,12.2
0.00814,2.51,12.2
0.00815,2.5,11.4
0.008160000000000002,2.51,12.2
0.00817,2.51,12.2
0.00818,2.51,12.2
0.008189999999999998,2.51,12.2
0.008200000000000002,2.51,12.2
0.00821,2.51,12.2
0.00822,2.51,12.2
0.008229999999999998,2.51,12.2
0.00824,2.51,12.2
0.00825,2.5,12.2
0.00826,2.51,12.2
0.00827,2.51,12.2
0.00828,2.51,12.2
0.00829,2.51,12.2
0.0083,2.5,12.2
0.00831,2.51,12.2
0.008319999999999998,2.51,12.2
0.008330000000000002,2.51,12.2
0.00834,2.51,12.2
0.00835,2.51,12.2
0.008359999999999998,2.51,12.2
0.008370000000000002,2.51,12.2
0.00838,2.51,12.2
0.00839,2.51,12.2
0.008399999999999998,2.51,12.2
0.00841,2.51,12.2
0.00842,2.51,12.2
0.00843,2.51,12.2
0.00844,2.5,11.8
0.00845,2.51,12.2
0.008460000000000002,2.5,12.2
0.00847,2.51,12.2
0.00848,2.51,12.2
0.008489999999999998,2.51,12.2
0.008500000000000002,2.51,12.2
0.00851,2.51,12.2
0.00852,2.5,12.2
0.008529999999999998,2.5,12.2
0.008540000000000002,2.5,12.0
0.00855,2.51,12.0
0.00856,2.51,12.2
0.008569999999999998,2.51,12.0
0.00858,2.51,12.0
0.00859,2.51,12.0
0.0086,2.51,12.0
0.00861,2.51,12.0
0.00862,2.51,12.0
0.008630000000000002,2.51,12.0
0.00864,2.51,12.0
0.00865,2.51,12.0
0.008659999999999998,2.51,12.0
0.008670000000000002,2.51,12.0
0.00868,2.51,12.0
0.00869,2.51,12.0
0.008699999999999998,2.51,12.0
0.008710000000000002,2.51,12.0
0.00872,2.5,12.0
0.00873,2.51,12.0
0.00874,2.51,12.0
0.00875,2.51,12.0
0.00876,2.51,12.0
0.00877,2.51,12.0
0.00878,2.51,12.0
0.00879,2.51,12.0
0.008800000000000002,2.51,12.0
0.00881,2.51,12.0
0.00882,2.51,12.0
0.008829999999999998,2.51,12.0
0.008840000000000002,2.51,12.0
0.00885,2.51,12.0
0.00886,2.5,12.0
0.008869999999999998,2.51,12.0
0.00888,2.5,12.0
0.00889,2.51,12.2
0.0089,2.5,12.0
0.00891,2.51,12.0
0.00892,2.51,12.0
0.00893,2.51,12.0
0.00894,2.51,12.0
0.00895,2.51,12.0
0.00896,2.51,12.0
0.008970000000000002,2.51,12.0
0.00898,2.51,12.0
0.00899,2.51,12.0
0.008999999999999998,2.51,12.0
0.00901,2.51,12.0
0.00902,2.51,12.0
0.00903,2.51,12.0
0.00904,2.5,12.0
0.00905,2.51,12.0
0.00906,2.51,12.0
0.00907,2.51,12.0
0.00908,2.51,12.0
0.00909,2.51,12.0
0.0091,2.51,12.0
0.00911,2.51,12.0
0.00912,2.51,12.0
0.00913,2.51,12.0
0.00914,2.5,12.0
0.00915,2.51,12.0
0.00916,2.51,12.0
0.00917,2.51,12.0
0.00918,2.51,12.2
0.00919,2.51,12.0
0.0092,2.51,12.0
0.00921,2.51,12.0
0.00922,2.51,12.0
0.00923,2.51,12.0
0.00924,2.51,12.0
0.00925,2.51,12.0
0.00926,2.51,12.0
0.00927,2.51,12.0
0.00928,2.51,12.0
0.00929,2.51,12.0
0.0093,2.51,12.0
0.00931,2.51,12.0
0.00932,2.51,12.0
0.00933,2.51,12.0
0.00934,2.51,12.0
0.00935,2.51,12.0
0.00936,2.51,12.0
0.00937,2.51,12.0
0.00938,2.51,12.0
0.00939,2.51,12.0
0.0094,2.51,12.0
0.00941,2.51,12.0
0.00942,2.51,12.0
0.00943,2.51,12.0
0.00944,2.51,12.0
0.00945,2.51,12.0
0.00946,2.51,12.0
0.00947,2.51,12.2
0.00948,2.51,12.0
0.00949,2.51,12.0
0.0095,2.44,12.0
0.00951,2.33,12.0
0.00952,2.28,12.2
0.00953,2.25,12.0
0.00954,2.23,12.0
0.00955,2.22,12.2
0.00956,2.22,12.2
0.00957,2.21,12.2
0.00958,2.21,12.2
0.00959,2.21,12.4
0.0096,2.21,12.4
0.00961,2.21,12.4
0.00962,2.2,12.6
0.00963,2.21,13.4
0.00964,2.2,12.6
0.00965,2.21,12.8
0.00966,2.21,12.8
0.00967,2.21,13.0
0.00968,2.2,13.0
0.00969,2.21,13.0
0.0097,2.2,13.2
0.00971,2.2,13.4
0.00972,2.2,13.4
0.00973,2.21,13.4
0.00974,2.21,13.6
0.00975,2.2,13.6
0.00976,2.21,13.8
0.00977,2.2,13.8
0.00978,2.21,14.0
0.00979,2.21,14.0
0.0098,2.2,14.0
0.00981,2.21,14.2
0.00982,2.2,14.2
0.00983,2.2,14.4
0.00984,2.2,14.4
0.00985,2.2,14.6
0.00986,2.2,14.6
0.00987,2.2,14.6
0.00988,2.21,14.8
0.00989,2.21,14.8
0.0099,2.2,15.0
0.00991,2.2,15.0
0.00992,2.21,15.2
0.00993,2.21,15.2
0.00994,2.21,15.2
0.00995,2.21,15.2
0.00996,2.2,15.2
0.00997,2.2,15.4
0.00998,2.2,15.4
0.00999,2.21,15.4
0.01,2.2,15.6
